codigo_estudiante,tipo_examen,carrera_asignada,puntaje_matematica,puntaje_ciencias,puntaje_humanidades,puntaje_aptitud,puntaje_ciencias_carrera,puntaje_humanidades_carrera,puntaje_ingenieria_carrera,carrera_recomendada,puntaje_total
027822,F,B,8.0,5.0,24.0,47.0,78.0,84.0,84.0,Humanidades,84.0
027814,I,B,10.0,10.0,22.5,40.0,87.5,82.5,87.5,Ciencias,87.5
027803,H,B,2.5,7.5,30.0,30.0,65.0,70.0,55.0,Humanidades,70.0
027804,K,B,7.5,1.5,7.5,10.0,24.5,26.5,36.5,Ingeniería,36.5
027813,J,B,12.5,0.0,0.0,30.0,42.5,42.5,67.5,Ingeniería,67.5
027823,G,B,3.5,10.0,40.5,8.0,55.0,62.0,42.0,Humanidades,62.0
027824,H,B,20.0,20.0,37.5,65.0,157.5,142.5,157.5,Ciencias,157.5
027825,K,B,2.5,0.0,22.5,6.0,16.0,31.0,21.0,Humanidades,31.0
027826,L,B,5.0,2.5,22.5,25.0,45.0,55.0,50.0,Humanidades,55.0
027827,H,B,2.5,0.5,7.5,40.0,46.5,50.5,50.5,Humanidades,50.5
027828,K,B,17.5,5.0,30.0,35.0,77.5,87.5,102.5,Ingeniería,102.5
