codigo_estudiante,puntajes_correctos
028086,4.88095238095238
028082,39.727272727272734
028084,115.5
028083,64.55555555555556
028080,10.636363636363637
028045,78.1578947368421
028079,20.125
028078,27.692307692307693
028077,33.05555555555556
028076,60.352941176470594
028075,0.0
028074,30.76923076923077
028073,76.08333333333333
028072,73.0
028071,3.6
028070,57.578125
028069,93.75641025641025
028068,31.111111111111107
028067,77.08571428571427
028066,52.04347826086957
028064,37.0
028065,149.625
028062,58.275862068965516
028063,63.636363636363626
028060,62.94642857142857
028061,176.66666666666669
028059,77.77777777777777
028058,91.34146341463415
028057,77.33333333333334
028056,32.61538461538462
028055,58.878787878787875
028054,56.785714285714285
028053,39.1
028052,91.921875
028046,44.25806451612903
028047,79.25806451612902
028048,193.58333333333331
028049,18.75
028050,38.27777777777777
028051,27.42307692307692
028033,72.74285714285715
028034,34.34615384615384
028035,44.22413793103449
028036,34.81481481481481
028037,35.388888888888886
028038,97.31707317073172
028039,45.0
028040,77.86486486486487
028041,56.66666666666667
028042,41.89655172413793
028043,111.81818181818181
028044,110.27027027027027
028032,93.98648648648648
028027,25.96153846153846
028028,135.4245283018868
028029,5.550000000000001
028030,150.46153846153845
028031,87.05128205128204
028021,47.76470588235294
028022,15.833333333333334
028023,100.74324324324326
028024,87.81578947368422
028025,44.28846153846153
028026,67.77027027027027
028009,24.439999999999998
028010,32.25
028011,30.8125
028012,52.421875
028013,72.41379310344828
028014,46.064516129032256
028015,0.0
028016,23.0
028017,126.875
028018,10.636363636363637
028019,163.20754716981133
028020,21.195652173913043
027979,18.75
027978,64.453125
027977,89.6341463414634
027976,136.76470588235296
027975,9.318181818181817
027974,125.125
027980,81.5625
027982,117.60000000000001
027984,82.51351351351352
027985,5.142857142857142
027983,46.75
027981,124.27380952380952
027986,37.391304347826086
027987,46.666666666666664
027988,56.13636363636364
027991,34.35185185185185
027990,118.925
027989,102.90697674418605
027992,47.5
027995,84.43243243243245
027993,66.0
027996,220.2578125
027997,5.142857142857142
027994,48.857142857142854
027998,78.15789473684211
028000,74.44444444444444
028001,89.83333333333334
028003,139.84
028002,119.08695652173913
027999,94.03225806451613
028004,68.72727272727273
028005,62.04545454545455
028006,95.73611111111111
028007,43.758620689655174
027973,30.666666666666664
028008,13.369565217391305
027960,60.84375
027965,49.3
027961,19.166666666666668
027963,46.66666666666667
027966,52.0
027942,103.63636363636365
027962,22.0
027955,108.94736842105262
027937,71.11111111111111
027970,154.25925925925924
027956,79.80000000000001
027957,19.6875
027958,91.0
027959,56.58
027971,40.26785714285714
027953,92.23529411764706
027952,71.25925925925925
027954,73.79032258064515
027968,59.07692307692308
027951,110.6046511627907
027950,76.36363636363637
027949,83.8157894736842
027948,82.73529411764706
027947,114.80000000000001
027967,35.714285714285715
027946,21.083333333333332
027969,63.21428571428571
027964,137.41
027945,134.375
027944,23.375000000000004
027972,45.93333333333333
027938,14.347826086956522
027939,39.56896551724138
027940,132.62765957446808
027941,27.11538461538462
027943,35.07692307692308
027902,78.1081081081081
027903,73.125
027904,48.400000000000006
027905,33.45454545454545
027906,39.861111111111114
027907,50.564516129032256
027908,139.4903846153846
027909,78.4857142857143
027912,60.73529411764706
027914,42.5
027917,35.0
027918,35.714285714285715
027919,51.0
027916,113.58139534883722
027915,98.21428571428571
027913,134.95833333333334
027911,10.25
027910,55.06666666666666
027926,138.55102040816328
027925,52.5
027924,22.909090909090907
027923,84.03846153846153
027920,98.21428571428571
027921,71.84210526315789
027922,44.16
027930,63.03030303030303
027929,63.878787878787875
027928,82.15277777777779
027927,59.0
027931,129.29411764705884
027932,25.961538461538463
027933,16.25
027934,44.0
027935,58.10606060606061
027936,83.25714285714287
027901,70.42857142857143
027883,64.0
027873,106.36363636363637
027870,0.0
027867,17.0
027865,28.875
027866,70.71428571428571
027868,53.375
027869,49.21052631578947
027871,59.09375
027872,44.166666666666664
027874,22.5
027880,29.53846153846154
027879,47.41379310344827
027878,71.86666666666667
027877,32.14285714285714
027876,87.57692307692307
027875,92.5
027885,114.45652173913044
027884,109.0909090909091
027882,46.96774193548387
027881,87.63157894736841
027889,94.84210526315789
027888,98.59756097560975
027887,161.78125
027886,64.5
027895,84.0
027894,64.01515151515152
027893,65.88235294117646
